FechaHora,Puerto/ID,IP,MAC,PON/Serial,PON Formateado,Resultado,VLAN3 Verificada,Detalles
2026-09-08 10:48:37,7,10.100.7.1,4C:46:D1:E3:A8:F1,4c46d1-4c46d1e3a8f1,VSOL00E3A8F1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 10:49:24,8,10.100.8.1,4C:46:D1:E3:B1:C9,4c46d1-4c46d1e3b1c9,VSOL00E3B1C9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 10:50:38,6,10.100.6.1,4C:46:D1:E3:B8:41,4c46d1-4c46d1e3b841,VSOL00E3B841,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:01:35,5,10.100.5.1,4C:46:D1:E3:B9:B9,4c46d1-4c46d1e3b9b9,VSOL00E3B9B9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:02:46,8,10.100.8.1,4C:46:D1:E4:01:51,4c46d1-4c46d1e40151,VSOL00E40151,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:02:46,7,10.100.7.1,4C:46:D1:E3:A8:B1,4c46d1-4c46d1e3a8b1,VSOL00E3A8B1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:03:30,2,10.100.2.1,4C:46:D1:E3:B2:11,4c46d1-4c46d1e3b211,VSOL00E3B211,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:11:50,2,10.100.2.1,,,,ERROR,NO,Fallo: Locator.wait_for: Timeout 10000ms exceeded. Call log:   - waiting for locator("form.login-form").locator("button").first to be visible 
2026-09-08 11:12:12,1,10.100.1.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-09-08 11:13:19,4,10.100.4.1,,,,ERROR,NO,Fallo: Locator.fill: Timeout 30000ms exceeded. Call log:   - waiting for locator("form.login-form").locator("input[type='text']").first     - locator resolved to <input type="text" tabindex="0" id="el-id-1341-4" autocomplete="off" class="el-input__inner"/>     - fill("admin")   - attempting fill action     - waiting for "http://10.100.4.1/login" navigation to finish...     - navigated to "http://10.100.4.1/login"     - waiting for element to be visible; enabled and editable   - element was detached from the DOM; retrying 
2026-09-08 11:14:25,6,10.100.6.1,4C:46:D1:E4:7D:B9,4c46d1-4c46d1e47db9,VSOL00E47DB9,ERROR,NO,Fallo: No se pudo ingresar con credenciales finales (Powerlink)
2026-09-08 11:14:39,8,10.100.8.1,4C:46:D1:E4:7D:B9,4c46d1-4c46d1e47db9,VSOL00E47DB9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:15:04,5,10.100.5.1,4C:46:D1:E4:83:B1,4c46d1-4c46d1e483b1,VSOL00E483B1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:16:25,1,10.100.1.1,4C:46:D1:E4:83:89,4c46d1-4c46d1e48389,VSOL00E48389,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:17:30,7,10.100.7.1,4C:46:D1:E4:73:01,4c46d1-4c46d1e47301,VSOL00E47301,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:17:58,2,10.100.2.1,4C:46:D1:E4:84:F1,4c46d1-4c46d1e484f1,VSOL00E484F1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:18:29,3,10.100.3.1,4C:46:D1:E4:A5:19,4c46d1-4c46d1e4a519,VSOL00E4A519,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:19:36,4,10.100.4.1,4C:46:D1:E4:A4:C9,4c46d1-4c46d1e4a4c9,VSOL00E4A4C9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:20:31,6,10.100.6.1,4C:46:D1:E3:BC:91,4c46d1-4c46d1e3bc91,VSOL00E3BC91,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:28:28,2,10.100.2.1,,,,ERROR,NO,Fallo: Page.goto: net::ERR_CONNECTION_REFUSED at http://10.100.2.1/ Call log:   - navigating to "http://10.100.2.1/"; waiting until "load" 
2026-09-08 11:28:49,3,10.100.3.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-09-08 11:29:09,6,10.100.6.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-09-08 11:29:21,8,10.100.8.1,4C:46:D1:E3:DF:89,4c46d1-4c46d1e3df89,VSOL00E3DF89,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:30:02,7,10.100.7.1,4C:46:D1:E4:7E:69,4c46d1-4c46d1e47e69,VSOL00E47E69,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:31:28,4,10.100.4.1,4C:46:D1:E4:3F:E1,4c46d1-4c46d1e43fe1,VSOL00E43FE1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:32:32,2,10.100.2.1,4C:46:D1:E4:4E:51,4c46d1-4c46d1e44e51,VSOL00E44E51,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:32:36,3,10.100.3.1,4C:46:D1:E4:A2:A9,4c46d1-4c46d1e4a2a9,VSOL00E4A2A9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:33:23,6,10.100.6.1,4C:46:D1:E4:92:C1,4c46d1-4c46d1e492c1,VSOL00E492C1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:34:31,5,10.100.5.1,4C:46:D1:E4:A2:C9,4c46d1-4c46d1e4a2c9,VSOL00E4A2C9,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:35:42,1,10.100.1.1,4C:46:D1:E4:A3:D1,4c46d1-4c46d1e4a3d1,VSOL00E4A3D1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:40:01,1,10.100.1.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-09-08 11:40:24,1,10.100.1.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-09-08 11:40:25,5,10.100.5.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
2026-09-08 11:41:46,4,10.100.4.1,,,,EXITO_LOGIN_FINAL,NO,Login final OK pero VLAN3 no verificada (revisar)
2026-09-08 11:43:26,7,10.100.7.1,4C:46:D1:E4:A3:99,4c46d1-4c46d1e4a399,VSOL00E4A399,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:44:19,1,10.100.1.1,4C:46:D1:E3:E5:F1,4c46d1-4c46d1e3e5f1,VSOL00E3E5F1,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:44:29,5,10.100.5.1,4C:46:D1:E4:A4:49,4c46d1-4c46d1e4a449,VSOL00E4A449,EXITO,SI,Firmware cargado; reset completado; VLAN3 verificada
2026-09-08 11:54:32,6,10.100.6.1,,,,SIN_ONU,NO,Sin respuesta HTTP (puerto vacio o ONU apagada)
